ID,regnum,regnum2,name1,name2
H4P00019,390,390,,"Adalbero (v. Rheinfelden), Bf. v. Worms (1065-1070), Bruder (Gegen)Kg. Rudolfs v. Rheinfelden, Onkel Kg.in Adelheids (v. Rheinfelden) v. Ungarn, Agnes’ v. Rheinfelden, Berthas v. Rheinfelden und (Gegen)Hzg. Bertholds (v. Rheinfelden) I. v. Schwaben"
H4P00021,5,5,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,124,124,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,174,174,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,180(†),180,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,196,196,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,198,198,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,210(†),210,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,262,262,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,304,304,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,309,309,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,310,310,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,313,313,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,583,583,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,621(†?),621,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,649,649,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,664,664,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,728,728,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,743,743,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,784,784,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,802†,802,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,811,811,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,836,836,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,911,911,"Bf. v. Würzburg (siehe Korrekturen und Nachträge),","Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg (siehe Korrekturen und Nachträge),"
H4P00021,917,917,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,934†,934,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,1194,1194,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,1195,1195,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,1199,1199,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,1300,1300,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,R1,R1,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,R3,R3,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,R4,R4,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,R5,R5,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,R7,R7,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,R15,R15,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,R18,R18,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,R19,R19,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,R20,R20,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,R25,R25,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,H27,H27,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
H4P00021,H32,H32,Bf. v. Würzburg,"Adalbero (v. Lambach-Wels), Bf. v. Würzburg (1045-1090), Sohn Gf. Arnolds v. Lambach, Bruder Mgf. Gottfrieds // Bf. v. Würzburg"
