ID,,Anzahl,Original,Alternativname,normalisiertDeutsch,Long,Lat,wikidataId,GettyId,GeonamesId,Kommentar,Zuordnung,Lage,Sicherheit,InstInDerStadt,wikidata-id inst,Geonames-id inst,,,,,,,,GND
1301,0,1,<em>Wolckenberg</em>,,<em>Wolckenberg</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1302,0,1,<em>Xin(Shene?)</em>,,<em>Xin(Shene?)</em>,,,,,,,,,,,,,0,0,0,0,0,0,0,
1356,0,1,Ad Aquis,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,Umgebung,,,,,0,0,0,0,0,0,0,
1764,0,1,ante Aquisgranum,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,Umgebung,,,,,,,0,Friedrich II. 1214 aug. 23 ante Aquisgranum,5,1,1328,
8944,0,1,prope Aquisgranum,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,Umgebung,,,,,,,0,Friedrich II. 1214 sept. 1 prope Aquisgranum,5,1,1337,
1111,0,1,(zwischen Koblenz und Aachen),,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,doppelt,,zwischen,,,,,,,,,,,,
11593,0,1,[Marienstift zu] Aachen,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,Kloster,,,Marienstift,https://www.wikidata.org/wiki/Q1646116,,0,0,0,0,0,0,0,
3238,0,1,"auf dem feierlichen <span class=""spaced"">Hoftag</span> zu Aachen",,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,Königshof,,,Hoftag,,,0,0,0,0,0,0,0,
1313,0,1,Aachen (in palatio Aquisgrani),,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,Königshof,,,Königspfalz,https://www.wikidata.org/wiki/Q300739,,0,0,0,0,0,0,0,
1314,0,1,Aachen <em>(in curia nostra Aquis celebrata) </em>,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,Königshof,,,Königspfalz,https://www.wikidata.org/wiki/Q300739,,0,0,0,0,0,0,0,
3122,0,1,Aquis. pal.,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,Königshof,,,Königspfalz,https://www.wikidata.org/wiki/Q300739,,0,0,0,0,0,0,0,
3129,0,1,Aquisgrani palatii,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,Königshof,,,Königspfalz,https://www.wikidata.org/wiki/Q300739,,0,0,0,0,0,0,0,
6374,0,1,in der Kaiserpfalz zu Aachen,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,Königshof,,,Königspfalz,https://www.wikidata.org/wiki/Q300739,,0,0,0,0,0,0,0,
8754,0,1,Pfalz Aachen,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,Königshof,,,Königspfalz,https://www.wikidata.org/wiki/Q300739,,0,0,0,0,0,0,0,
9,0,1,(Aachen -- Ingelheim -- Vogesen -- Diedenhofen -- Aachen),,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,doppelt,,,,,,,0,0,0,0,0,0,0,
10,0,1,(Aachen -- Mainz),,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,doppelt,,,,,,,0,0,0,0,0,0,0,
5115,0,1,Frankfurt-Sinzig-Aachen,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,doppelt,,,,,,,,,,,,,,
498,0,1,(Koblenz -- Aachen),,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,doppelt,,,,,,,,,,,,,,
574,0,1,(Lüttich — Aachen),,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,doppelt,,,,,,,,,,,,,,
9058,0,1,Prüm -- (Aachen?),,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,doppelt,,,unsicher,,,,,,,,,,,
108,0,1,(Aquisgrani),,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,,,,,,0,0,0,0,0,0,0,
381,0,1,(Granis Aquis),,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,,,,,,0,0,0,0,0,0,0,
11526,0,1,[Aachen],,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,,,,,,0,0,0,0,0,0,0,
1135,0,1,<em>Aichen</em>,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,,,,,,0,0,0,0,0,0,0,
1139,0,1,<em>Aquis</em>,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,,,,,,0,0,0,0,0,0,0,
1312,0,1,Aachen (Aquisgrani),,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,,,,,,0,0,0,0,0,0,0,
3123,0,1,Aquisgradi,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,,,,,,0,0,0,0,0,0,0,
2590,0,1,Aquisgranum,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,,,,,,0,0,0,0,0,0,0,
4479,0,1,coram Aquisgrano,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,,,,,,0,0,0,0,0,0,0,
6287,0,1,in civitate nostra imperiali (Achen?),,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,,,,,,0,0,0,0,0,0,0,
1355,0,2,ad Aquas,,Aachen,6.08342,50.77664,https://www.wikidata.org/wiki/Q1017,7004799,http://www.geonames.org/3247449,,,Umgebung,,,,,0,0,0,0,0,0,0,
